abilities,bug,dark,dragon,electric,fairy,fight,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,health points,japanese_name,name,percentage_male,pokedex_number,special attack,special defense,speed,type1,type2,weight_kg,generation,is_legendary,image
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,bulbasaur,88.1,1,65,65,45,grass,poison,6.9,Generation 1,0,./assets/images/bulbasaur.png
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed Pokémon,63,1059860,1,60,Fushigisouフシギソウ,ivysaur,88.1,2,80,80,60,grass,poison,13,Generation 1,0,./assets/images/ivysaur.png
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,Seed Pokémon,123,1059860,2,80,Fushigibanaフシギバナ,venusaur,88.1,3,122,120,80,grass,poison,100,Generation 1,0,./assets/images/venusaur.png
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,charmander,88.1,4,60,50,65,fire,no secondary type,8.5,Generation 1,0,./assets/images/charmander.png
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,charmeleon,88.1,5,80,65,80,fire,no secondary type,19,Generation 1,0,./assets/images/charmeleon.png
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,charizard,88.1,6,159,115,100,fire,flying,90.5,Generation 1,0,./assets/images/charizard.png
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,squirtle,88.1,7,50,64,43,water,no secondary type,9,Generation 1,0,./assets/images/squirtle.png
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle Pokémon,80,1059860,1,59,Kameilカメール,wartortle,88.1,8,65,80,58,water,no secondary type,22.5,Generation 1,0,./assets/images/wartortle.png
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,blastoise,88.1,9,135,115,78,water,no secondary type,85.5,Generation 1,0,./assets/images/blastoise.png
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,caterpie,50,10,20,20,45,bug,no secondary type,2.9,Generation 1,0,./assets/images/caterpie.png
